Zip Code,City,County
30301,Atlanta,Fulton
30302,Atlanta,Fulton
30303,Atlanta,Fulton
30304,Atlanta,Fulton
30305,Atlanta,Fulton
30306,Atlanta,Fulton
30307,Atlanta,Fulton
30308,Atlanta,Fulton
30309,Atlanta,Fulton
30310,Atlanta,Fulton
30311,Atlanta,Fulton
30312,Atlanta,Fulton
30313,Atlanta,Fulton
30314,Atlanta,Fulton
30315,Atlanta,Fulton
30316,Atlanta,Fulton
30317,Atlanta,Dekalb
30318,Atlanta,Fulton
30319,Atlanta,Dekalb
30320,Atlanta,Fulton
30321,Atlanta,Fulton
30322,Atlanta,Dekalb
30324,Atlanta,Fulton
30325,Atlanta,Fulton
30326,Atlanta,Fulton
30327,Atlanta,Fulton
30328,Atlanta,Fulton
30329,Atlanta,Dekalb
30330,Atlanta,Fulton
30331,Atlanta,Fulton
30332,Atlanta,Fulton
30333,Atlanta,Dekalb
30334,Atlanta,Fulton
30336,Atlanta,Fulton
30337,Atlanta,Fulton
30338,Atlanta,Dekalb
30339,Atlanta,Fulton
30340,Atlanta,Dekalb
30341,Atlanta,Dekalb
30342,Atlanta,Fulton
30343,Atlanta,Fulton
30344,Atlanta,Fulton
30345,Atlanta,Dekalb
30346,Atlanta,Dekalb
30347,Atlanta,Fulton
30348,Atlanta,Fulton
30349,Atlanta,Fulton
30350,Atlanta,Fulton
30353,Atlanta,Fulton
30354,Atlanta,Fulton
30355,Atlanta,Fulton
30356,Atlanta,Dekalb
30357,Atlanta,Fulton
30358,Atlanta,Fulton
30359,Atlanta,Dekalb
30360,Atlanta,Dekalb
30361,Atlanta,Fulton
30362,Atlanta,Dekalb
30363,Atlanta,Fulton
30364,Atlanta,Fulton
30366,Atlanta,Dekalb
30368,Atlanta,Fulton
30369,Atlanta,Fulton
30370,Atlanta,Fulton
30371,Atlanta,Fulton
30374,Atlanta,Fulton
30375,Atlanta,Fulton
30376,Atlanta,Fulton
30377,Atlanta,Fulton
30378,Atlanta,Fulton
30379,Atlanta,Fulton
30380,Atlanta,Fulton
30384,Atlanta,Fulton
30385,Atlanta,Fulton
30386,Atlanta,Fulton
30387,Atlanta,Fulton
30388,Atlanta,Fulton
30389,Atlanta,Fulton
30390,Atlanta,Fulton
30392,Atlanta,Fulton
30394,Atlanta,Fulton
30396,Atlanta,Fulton
30398,Atlanta,Fulton
30399,Atlanta,Fulton
31106,Atlanta,Fulton
31107,Atlanta,Fulton
31119,Atlanta,Dekalb
31120,Atlanta,Dekalb
31126,Atlanta,Fulton
31131,Atlanta,Fulton
31136,Atlanta,Fulton
31139,Atlanta,Fulton
31141,Atlanta,Dekalb
31145,Atlanta,Dekalb
31146,Atlanta,Dekalb
31150,Atlanta,Fulton
31156,Atlanta,Fulton
31191,Atlanta,Fulton
31192,Atlanta,Fulton
31193,Atlanta,Fulton
31195,Atlanta,Fulton
31196,Atlanta,Fulton
31197,Atlanta,Fulton
31198,Atlanta,Fulton
31199,Atlanta,Fulton
39901,Atlanta,Dekalb
